date,title,amount
2026-07-05,Ellus Higienopolis - Parcela 1/2,"294,50"
2026-07-05,Apple.Com/Bill,"42,90"
2026-07-02,Inditex Brasil - Parcela 1/2,"439,55"
2026-06-24,Obramax Atacado de Con - Parcela 2/4,"1.023,31"
2026-06-24,Sodimac - Parcela 2/3,"222,84"
2026-06-24,Pex*Setimo Oficial de - Parcela 2/4,"1.184,73"
2026-06-24,Pag10 *Lave Park - Al - Parcela 2/2,"295,00"
2026-06-24,Obramax Atacado de Con - Parcela 2/4,"254,67"
2026-06-24,MERCADO PAGO INST PAG LTDA                                                       - 2/3,"651,98"
2026-06-24,Reisman Aliancas - Parcela 5/10,"537,00"
2026-06-24,Obramax Atacado de Con - Parcela 2/4,"115,87"
2026-06-24,Sodimac - Parcela 2/2,"120,42"
